"CView Export Data File: Version 2.0"
"Export From File: c:\users\mikehome\appdata\local\programs\python\python36-32\lipf6-ppc-bare_al_no_clean-galvcyc-5-corr.txt"
  lithium intercalation bare Al without plasma clean AL30

  Open Circuit Potential (V): -1.935
"Time (Sec)"	"E (Volts)"
8800.2	0.425
8801.2	0.425
8802.2	0.425
8803.2	0.425
8804.2	0.425
8805.2	0.425
8806.2	0.425
8807.2	0.425
8808.2	0.425
8809.2	0.425
8810.2	0.425
8811.2	0.425
8812.2	0.425
8813.2	0.425
8814.2	0.425
8815.2	0.425
8816.2	0.425
8817.2	0.425
8818.2	0.425
8819.2	0.425
8820.2	0.425
8821.2	0.425
8822.2	0.425
8823.2	0.425
8824.2	0.425
8825.2	0.425
8826.2	0.425
8827.2	0.425
8828.2	0.425
8829.2	0.425
8830.2	0.425
8831.2	0.425
8832.2	0.425
8833.2	0.425
8834.2	0.425
8835.2	0.425
8836.2	0.425
8837.2	0.425
8838.2	0.425
8839.2	0.425
8840.2	0.425
8841.2	0.425
8842.2	0.425
8843.2	0.425
8844.2	0.425
8845.2	0.425
8846.2	0.425
8847.2	0.425
8848.2	0.425
8849.2	0.425
8850.2	0.425
8851.2	0.425
8852.2	0.425
8853.2	0.425
8854.2	0.425
8855.2	0.425
8856.2	0.425
8856	0.425
8856.4	0.77
8857.4	0.775
8858.4	0.78
8859.4	0.785
8860.4	0.79
8861.4	0.79
8862.4	0.795
8863.4	0.8
8864.4	0.8
8865.4	0.805
8866.4	0.81
8867.4	0.81
8868.4	0.815
8869.4	0.82
8870.4	0.82
8871.4	0.82
8872.4	0.825
8873.4	0.825
8874.4	0.83
8875.4	0.83
8876.4	0.835
8877.4	0.835
8878.4	0.835
8879.4	0.84
8880.4	0.84
8881.4	0.84
8882.4	0.845
8883.4	0.845
8884.4	0.845
8885.4	0.845
8886.4	0.85
8887.4	0.85
8888.4	0.85
8889.4	0.85
8890.4	0.855
8891.4	0.855
8892.4	0.855
8893.4	0.855
8894.4	0.86
8895.4	0.86
8896.4	0.86
8897.4	0.86
8898.4	0.86
8899.4	0.86
8900.4	0.86
8901.4	0.86
8902.4	0.86
8903.4	0.865
8904.4	0.865
8905.4	0.865
8906.4	0.865
8907.4	0.865
8908.4	0.865
8909.4	0.865
8910.4	0.865
8911.4	0.87
8912.4	0.87
8913.4	0.87
8914.4	0.87
8915.4	0.87
8916.4	0.87
8917.4	0.87
8918.4	0.87
8919.4	0.87
8920.4	0.87
8921.4	0.87
8922.4	0.87
8923.4	0.87
8924.4	0.87
8925.4	0.875
8926.4	0.875
8927.4	0.875
8928.4	0.875
8929.4	0.875
8930.4	0.875
8931.4	0.875
8932.4	0.875
8933.4	0.875
8934.4	0.875
8935.4	0.875
8936.4	0.875
8937.4	0.88
8938.4	0.875
8939.4	0.88
8940.4	0.88
8941.4	0.88
8942.4	0.88
8943.4	0.88
8944.4	0.88
8945.4	0.88
8946.4	0.88
8947.4	0.88
8948.4	0.88
8949.4	0.88
8950.4	0.88
8951.4	0.88
8952.4	0.88
8953.4	0.88
8954.4	0.88
8955.4	0.88
8956.4	0.88
8957.4	0.88
8958.4	0.88
8959.4	0.88
8960.4	0.88
8961.4	0.88
8962.4	0.88
8963.4	0.88
8964.4	0.88
8965.4	0.88
8966.4	0.88
8967.4	0.88
8968.4	0.88
8969.4	0.88
8970.4	0.88
8971.4	0.88
8972.4	0.885
8973.4	0.88
8974.4	0.885
8975.4	0.885
8976.4	0.885
8977.4	0.885
8978.4	0.885
8979.4	0.885
8980.4	0.885
8981.4	0.885
8982.4	0.885
8983.4	0.885
8984.4	0.885
8985.4	0.885
8986.4	0.885
8987.4	0.885
8988.4	0.885
8989.4	0.885
8990.4	0.885
8991.4	0.885
8992.4	0.885
8993.4	0.885
8994.4	0.885
8995.4	0.885
8996.4	0.885
8997.4	0.885
8998.4	0.885
8999.4	0.885
9000.4	0.885
9001.4	0.885
9002.4	0.885
9003.4	0.885
9004.4	0.885
9005.4	0.885
9006.4	0.885
9007.4	0.885
9008.4	0.885
9009.4	0.885
9010.4	0.885
9011.4	0.89
9012.4	0.89
9013.4	0.89
9014.4	0.89
9015.4	0.89
9016.4	0.89
9017.4	0.89
9018.4	0.89
9019.4	0.89
9020.4	0.89
9021.4	0.89
9022.4	0.89
9023.4	0.89
9024.4	0.89
9025.4	0.89
9026.4	0.89
9027.4	0.89
9028.4	0.89
9029.4	0.89
9030.4	0.89
9031.4	0.89
9032.4	0.89
9033.4	0.89
9034.4	0.89
9035.4	0.89
9036.4	0.89
9037.4	0.89
9038.4	0.89
9039.4	0.89
9040.4	0.89
9041.4	0.89
9042.4	0.89
9043.4	0.89
9044.4	0.89
9045.4	0.89
9046.4	0.89
9047.4	0.89
9048.4	0.89
9049.4	0.89
9050.4	0.89
9051.4	0.89
9052.4	0.89
9053.4	0.89
9054.4	0.89
9055.4	0.89
9056.4	0.89
9057.4	0.89
9058.4	0.89
9059.4	0.89
9060.4	0.89
9061.4	0.89
9062.4	0.89
9063.4	0.89
9064.4	0.89
9065.4	0.89
9066.4	0.89
9067.4	0.89
9068.4	0.89
9069.4	0.89
9070.4	0.89
9071.4	0.89
9072.4	0.89
9073.4	0.89
9074.4	0.89
9075.4	0.89
9076.4	0.89
9077.4	0.89
9078.4	0.89
9079.4	0.89
9080.4	0.89
9081.4	0.89
9082.4	0.89
9083.4	0.89
9084.4	0.89
9085.4	0.89
9086.4	0.89
9087.4	0.89
9088.4	0.89
9089.4	0.89
9090.4	0.89
9091.4	0.89
9092.4	0.89
9093.4	0.89
9094.4	0.89
9095.4	0.89
9096.4	0.89
9097.4	0.89
9098.4	0.89
9099.4	0.89
9100.4	0.89
9101.4	0.89
9102.4	0.89
9103.4	0.89
9104.4	0.89
9105.4	0.89
9106.4	0.89
9107.4	0.89
9108.4	0.89
9109.4	0.89
9110.4	0.89
9111.4	0.895
9112.4	0.89
9113.4	0.895
9114.4	0.89
9115.4	0.89
9116.4	0.89
9117.4	0.89
9118.4	0.89
9119.4	0.89
9120.4	0.89
9121.4	0.89
9122.4	0.89
9123.4	0.89
9124.4	0.89
9125.4	0.89
9126.4	0.895
9127.4	0.895
9128.4	0.895
9129.4	0.89
9130.4	0.89
9131.4	0.895
9132.4	0.89
9133.4	0.895
9134.4	0.895
9135.4	0.89
9136.4	0.895
9137.4	0.895
9138.4	0.89
9139.4	0.895
9140.4	0.895
9141.4	0.895
9142.4	0.895
9143.4	0.895
9144.4	0.895
9145.4	0.895
9146.4	0.895
9147.4	0.895
9148.4	0.895
9149.4	0.895
9150.4	0.895
9151.4	0.895
9152.4	0.895
9153.4	0.895
9154.4	0.895
9155.4	0.895
9156.4	0.895
9157.4	0.895
9158.4	0.895
9159.4	0.895
9160.4	0.895
9161.4	0.895
9162.4	0.895
9163.4	0.895
9164.4	0.895
9165.4	0.895
9166.4	0.895
9167.4	0.895
9168.4	0.895
9169.4	0.895
9170.4	0.895
9171.4	0.895
9172.4	0.895
9173.4	0.895
9174.4	0.895
9175.4	0.895
9176.4	0.895
9177.4	0.895
9178.4	0.895
9179.4	0.895
9180.4	0.895
9181.4	0.895
9182.4	0.895
9183.4	0.895
9184.4	0.895
9185.4	0.895
9186.4	0.895
9187.4	0.895
9188.4	0.895
9189.4	0.895
9190.4	0.895
9191.4	0.895
9192.4	0.895
9193.4	0.895
9194.4	0.895
9195.4	0.895
9196.4	0.895
9197.4	0.895
9198.4	0.895
9199.4	0.895
9200.4	0.895
9201.4	0.895
9202.4	0.895
9203.4	0.895
9204.4	0.895
9205.4	0.895
9206.4	0.895
9207.4	0.895
9208.4	0.895
9209.4	0.895
9210.4	0.895
9211.4	0.895
9212.4	0.895
9213.4	0.895
9214.4	0.895
9215.4	0.895
9216.4	0.895
9217.4	0.895
9218.4	0.895
9219.4	0.895
9220.4	0.895
9221.4	0.895
9222.4	0.895
